Number Date Time Interface Origin Type Action Service "Source Port" Source Destination Protocol Rule "Rule Name" "Current Rule Number" User Information Product "Source Machine Name" "Source User Name" "Received Bytes" "Sent Bytes"
1195 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 video.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 1873845000 1358370000
1299 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.10 translate.google.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 713168000 3429167000
1575 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 picasa.google.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1842240000 1023574000
1721 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 groups.google.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 795972000 975581000
1766 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 docs.google.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 616384000 3695145000
1952 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.13 www.google.com/transparencyreport tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 694909000 3835601000
1964 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.13 docs.google.com tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 1352883000 2382811000
1982 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.13 video.google.com tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 781346000 3926550000
2028 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.14 www.google.com/transparencyreport tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 473924000 3120135000
2053 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.14 groups.google.com tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 2096856000 3745856000
2077 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.14 plus.google.com tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 942637000 2333994000
2087 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.14 news.google.com tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 860423000 1892079000
2204 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.15 encrypted.google.com tcp 188 Rule1 188 george.grey@acmedemo.net https Management dh1 dh2 886421000 468162000
2224 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.15 translate.google.com tcp 188 Rule1 188 george.grey@acmedemo.net https Management dh1 dh2 415531000 3527368000
2375 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.15 picasa.google.com tcp 188 Rule1 188 george.grey@acmedemo.net https Management dh1 dh2 1225837000 260472000
2481 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.16 plus.google.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 1788520000 4132580000
2488 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.16 www.google.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 1186282000 576446000
2555 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.16 news.google.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 1382376000 398756000
2878 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.google.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 441453000 2149481000
2951 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.google.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 541500000 1770377000
2969 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.google.com/transparencyreport tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 978808000 148035000
3027 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 translate.google.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 1150354000 3584173000
3422 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.20 encrypted.google.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1341467000 2898587000
1 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 6081161000 12950021000
2 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 3081161000 20950021000
3 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1681161000 10950021000
4 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 981161000 9950021000
5 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 681161000 7950021000
6 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 581161000 12950021000
7 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 281161000 9950021000
8 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 81161000 2950021000
9 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 61161000 50021000
10 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 21161000 22950021000
11 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 1161000 950021000
12 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 161000 950021000
1 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 ted.keppel@acmedemo.net https Management dh1 dh2 5081161000 18950021000
340 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 www.amazon.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 1535599000 2163671000
596 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 www.amazon.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 923166000 3144990000
615 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 www.amazon.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 716780000 3318299000
917 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.8 www.amazon.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 60900000 1115115000
1043 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 www.amazon.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 843365000 751010000
1209 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.10 smile.amazon.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 1571972000 2501691000
1334 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.10 www.amazon.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 1166225000 3629388000
1340 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.10 smile.amazon.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 1972799000 2932184000
1651 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.amazon.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 193315000 1023081000
1701 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.amazon.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 1063575000 2515461000
2533 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.16 smile.amazon.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 1253539000 2519185000
2724 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.17 www.amazon.com tcp 188 Rule1 188 jeremy.lampi@acmedemo.net https Management dh1 dh2 1567688000 1254087000
2727 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.17 smile.amazon.com tcp 188 Rule1 188 jeremy.lampi@acmedemo.net https Management dh1 dh2 1596589000 3724631000
2788 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.17 www.amazon.com tcp 188 Rule1 188 jeremy.lampi@acmedemo.net https Management dh1 dh2 907981000 2822502000
2876 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.amazon.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 714408000 3981370000
2956 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.amazon.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 34864000 1523804000
2975 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.amazon.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 1562842000 4123327000
2992 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.amazon.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 1982454000 744884000
2996 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.amazon.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 1118903000 2982769000
3129 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.19 www.amazon.com tcp 188 Rule1 188 ted.keppel@acmedemo.net https Management dh1 dh2 90987000 421188000
3442 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.20 smile.amazon.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 894312000 1425033000
1 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 6081161000 12950021000
2 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 3081161000 20950021000
3 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 581161000 12950021000
4 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 281161000 9950021000
5 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 81161000 2950021000
6 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 61161000 50021000
7 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 21161000 22950021000
8 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 1161000 950021000
9 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 161000 950021000
1 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 608116100 1295021000
239 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 www.simplenote.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 659475 3519654
445 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 www.simplenote.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 693930 3999727
1093 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 www.simplenote.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 596916 2043431
1264 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.10 www.simplenote.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 219962 2868100
1554 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.simplenote.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1287484 1134194
1632 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.simplenote.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 1671219 3220794
1917 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.13 www.simplenote.com tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 1479926 875091
2097 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.14 www.simplenote.com tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 948253 2984316
2424 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.16 www.simplenote.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 9186 3425552
2829 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.simplenote.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 1612735 3805503
2943 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.simplenote.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 440388 115182
33 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.slideshare.net tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 949183 1071253
334 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 www.slideshare.net tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 818404 892260
715 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.7 www.slideshare.net tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 1188005 1541501
863 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.8 www.slideshare.net tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 637673 2383017
1391 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.10 www.slideshare.net tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 400219 334712
1595 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.slideshare.net tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1608009 2941181
1656 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.slideshare.net tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 1204416 2564461
1760 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.slideshare.net tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 1796473 3056388
1880 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.13 www.slideshare.net tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 1091657 3497078
2154 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.14 www.slideshare.net tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 711713 2450540
3236 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.19 www.slideshare.net tcp 188 Rule1 188 ted.keppel@acmedemo.net https Management dh1 dh2 1837930 2438005
3322 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.20 www.slideshare.net tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1120681 717943
172 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.depositfiles.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1503860 608377
782 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.7 www.depositfiles.com tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 2064653 1749156
1184 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 www.depositfiles.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 1443331 3666083
2586 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.16 www.depositfiles.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 2018531 1028980
3494 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.20 www.depositfiles.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 639955 617489
785 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.7 www.hightail.com tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 400055 2570265
1969 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.13 www.hightail.com tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 204091 1065422
2195 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.14 www.hightail.com tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 320998 211081
1563 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.brinkster.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1355497 3992816
551 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 www.worldlingo.com/en/products_services/worldlingo_translator.html tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 729368 2567443
656 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 www.worldlingo.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 894511 3687173
1504 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.worldlingo.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1249869 1149814
2277 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.15 www.worldlingo.com/en/products_services/worldlingo_translator.html tcp 188 Rule1 188 george.grey@acmedemo.net https Management dh1 dh2 71191 4037158
2945 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.worldlingo.com/en/products_services/worldlingo_translator.html tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 1700595 1723993
2958 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.worldlingo.com/en/products_services/worldlingo_translator.html tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 96135 374969
989 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.8 www.leaseweb.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 2036027 2700283
1777 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.leaseweb.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 634074 3115852
1188 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 secure.logmein.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 1421958 1918489
1378 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.10 secure.logmein.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 714311 3298523
1793 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 secure.logmein.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 973921 275150
1987 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.13 secure.logmein.com tcp 188 Rule1 188 bud.richman@acmedemo.net https Management dh1 dh2 918917 3075322
2180 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.14 secure.logmein.com tcp 188 Rule1 188 carol.krisman@acmedemo.net https Management dh1 dh2 1973592 2016723
3070 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 secure.logmein.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 752590 1946003
3295 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.19 secure.logmein.com tcp 188 Rule1 188 ted.keppel@acmedemo.net https Management dh1 dh2 820086 1730218
301 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 www.hushmail.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 1992332 905210
905 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.8 www.hushmail.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 1614068 2334045
